name	location	university	type	language
Alte Musik	Stuttgart	Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart	Master	Deutsch
Alte Musik	Weimar	Hochschule für Musik Franz Liszt Weimar	Master	Deutsch
Alte Musik	Trossingen	Staatliche Hochschule für Musik Trossingen	Master	Deutsch
Alte Musik	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Abschlussprüfung	Deutsch
Alte Musik (verbreiternd)	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Master	Deutsch
Alte Musik (vertiefend)	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Master	Deutsch
Alte Musik auf historischen Instrumenten und Barockgesang	Köln	Hochschule für Musik und Tanz Köln	Master	Deutsch
Alte Welt	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Bachelor	Deutsch
Alte Welt	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
Alter Orient	München	Ludwig-Maximilians-Universität München	Bachelor	Deutsch
Alternative Antriebe in der Fahrzeugtechnik	Wolfenbüttel	Hochschule Braunschweig/Wolfenbüttel, Ostfalia Hochschule für angewandte Wissenschaften	Master	Deutsch
Alternde Gesellschaften	Dortmund	Technische Universität Dortmund	Master	Deutsch
Altertumswissenschaften	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Bachelor	Deutsch
Altertumswissenschaften	Jena	Friedrich-Schiller-Universität Jena	Bachelor	Deutsch
Altertumswissenschaften	Saarbrücken	Universität des Saarlandes	Bachelor	Deutsch
Altertumswissenschaften	Rostock	Universität Rostock	Master	Deutsch
Altertumswissenschaften	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Master	Deutsch
Altertumswissenschaften	Saarbrücken	Universität des Saarlandes	Master	Deutsch
Altertumswissenschaften/ Ägyptologie	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Altertumswissenschaften/ Altorientalistik	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Altertumswissenschaften/ Klassische Archäologie	Berlin	Freie Universität Berlin	Bachelor	Deutsch
